SUB_FAMILY_NAME	SPECIES_NAME	Habitat
FLORISUGINAE	Topaza pella	Open
FLORISUGINAE	Topaza pyra	Understory
FLORISUGINAE	Florisuga mellivora	Mixed
FLORISUGINAE	Florisuga fusca	Mixed
PHAETHORNITHINAE	Eutoxeres aquila	Understory
PHAETHORNITHINAE	Eutoxeres condamini	Open
PHAETHORNITHINAE	Ramphodon naevius	Understory
PHAETHORNITHINAE	Glaucis dohrnii	Understory
PHAETHORNITHINAE	Glaucis aeneus	Mixed
PHAETHORNITHINAE	Glaucis hirsutus	Mixed
PHAETHORNITHINAE	Threnetes ruckeri	Mixed
PHAETHORNITHINAE	Threnetes leucurus	Open
PHAETHORNITHINAE	Threnetes niger	Open
PHAETHORNITHINAE	Anopetia gounellei	Mixed
PHAETHORNITHINAE	Phaethornis squalidus	Understory
PHAETHORNITHINAE	Phaethornis rupurumii	Mixed
PHAETHORNITHINAE	Phaethornis longuemareus	Mixed
PHAETHORNITHINAE	Phaethornis aethopygus	Understory
PHAETHORNITHINAE	Phaethornis idaliae	Understory
PHAETHORNITHINAE	Phaethornis nattereri	Mixed
PHAETHORNITHINAE	Phaethornis atrimentalis	Mixed
PHAETHORNITHINAE	Phaethornis striigularis	Mixed
PHAETHORNITHINAE	Phaethornis griseogularis	Understory
PHAETHORNITHINAE	Phaethornis ruber	Mixed
PHAETHORNITHINAE	Phaethornis stuarti	Open
PHAETHORNITHINAE	Phaethornis subochraceus	Mixed
PHAETHORNITHINAE	Phaethornis augusti	Open
PHAETHORNITHINAE	Phaethornis pretrei	Open
PHAETHORNITHINAE	Phaethornis eurynome	Understory
PHAETHORNITHINAE	Phaethornis anthophilus	Open
PHAETHORNITHINAE	Phaethornis hispidus	Mixed
PHAETHORNITHINAE	Phaethornis yaruqui	Understory
PHAETHORNITHINAE	Phaethornis guy	Understory
PHAETHORNITHINAE	Phaethornis syrmatophorus	Understory
PHAETHORNITHINAE	Phaethornis koepckeae	Understory
PHAETHORNITHINAE	Phaethornis philippii	Mixed
PHAETHORNITHINAE	Phaethornis bourcieri	Understory
PHAETHORNITHINAE	Phaethornis longirostris	Mixed
PHAETHORNITHINAE	Phaethornis mexicanus	Understory
PHAETHORNITHINAE	Phaethornis superciliosus	Understory
PHAETHORNITHINAE	Phaethornis malaris	Mixed
POLYTMINAE	Doryfera ludovicae	Understory
POLYTMINAE	Doryfera johannae	Understory
POLYTMINAE	Schistes albogularis	Understory
POLYTMINAE	Schistes geoffroyi	Understory
POLYTMINAE	Augastes scutatus	Mixed
POLYTMINAE	Augastes lumachella	Open
POLYTMINAE	Colibri delphinae	Mixed
