SppName	MaxAlt	LogAltMax	MinAlt	LogAltMin	RangeAlt	LogAltRange	MidAlt	LogAltMid
Glaucis_aeneus	800	2.903632516	0	0	800	2.903632516	400	2.603144373
Glaucis_hirsutus	3500	3.544192111	0	0	3500	3.544192111	1750	3.243286146
Glaucis_dohrnii	500	2.699837726	0	0	500	2.699837726	250	2.399673721
Threnetes_niger	250	2.399673721	20	1.322219295	230	2.36361198	135	2.133538908
Threnetes_ruckeri	1200	3.079543007	0	0	1200	3.079543007	600	2.778874472
Threnetes_leucurus	1600	3.204391332	0	0	1600	3.204391332	800	2.903632516
Anopetia_gounellei	700	2.845718018	500	2.699837726	200	2.303196057	600	2.778874472
Phaethornis_yaruqui	2500	3.398113692	0	0	2500	3.398113692	1250	3.09725731
Phaethornis_guy	3000	3.477265995	500	2.699837726	2500	3.398113692	1750	3.243286146
Phaethornis_syrmatophorus	3025	3.480868924	1200	3.079543007	1825	3.261500773	2112.5	3.325002252
Phaethornis_longirostris	2500	3.398113692	0	0	2500	3.398113692	1250	3.09725731
Phaethornis_superciliosus	1800	3.255513713	0	0	1800	3.255513713	900	2.954724791
Phaethornis_malaris	2400	3.38039216	0	0	2400	3.38039216	1200	3.079543007
Phaethornis_eurynome	2250	3.352375495	100	2.004321374	2150	3.33264041	1175	3.070407322
Phaethornis_hispidus	1400	3.146438135	30	1.491361694	1370	3.137037455	715	2.854913022
Phaethornis_anthophilus	1500	3.176380692	0	0	1500	3.176380692	750	2.875639937
Phaethornis_bourcieri	1600	3.204391332	20	1.322219295	1580	3.19893187	810	2.909020854
Phaethornis_koepckeae	1300	3.114277297	450	2.654176542	850	2.92992956	875	2.942504106
Phaethornis_philippii	500	2.699837726	30	1.491361694	470	2.673020907	265	2.424881637
Phaethornis_squalidus	2250	3.352375495	0	0	2250	3.352375495	1125	3.051538391
Phaethornis_augusti	3500	3.544192111	200	2.303196057	3300	3.518645524	1850	3.267406419
Phaethornis_pretrei	2500	3.398113692	400	2.603144373	2100	3.322426052	1450	3.161667412
Phaethornis_subochraceus	800	2.903632516	150	2.178976947	650	2.813580989	475	2.677606953
Phaethornis_nattereri	500	2.699837726	0	0	500	2.699837726	250	2.399673721
Phaethornis_ruber	1500	3.176380692	0	0	1500	3.176380692	750	2.875639937
Phaethornis_stuarti	1400	3.146438135	350	2.545307116	1050	3.021602716	875	2.942504106
