,Scientific_name,English_name,Recording_ID,Library,Country,Locality,Latitude,Longitude,Date,Recordist,URL
1,Abeillia abeillei,Emerald-chinned Hummingbird,FLMNH11654,FLMNH,Mexico,"Chiapas, El Limon, Near El Limon (Which Is Near Canyon Honda)",NA,NA,25/03/89,Greg Lasley,NA
2,Abeillia abeillei,Emerald-chinned Hummingbird,ML172647,Macaulay Library,Guatemala,"SuchitepÁ©quez,,Reserva Los Tarrales; Bella Vista",14.53693,-91.16461,21/04/11,"de LeÁ³n Lux, JosuÁ© Odías",https://macaulaylibrary.org/asset/172647
3,Abeillia abeillei,Emerald-chinned Hummingbird,216631,Xeno-Canto,Honduras,Refugio de Vida Silvestre Corralitos,14.3272,-87.3382,10/10/14,Mayron McKewy Mejía,http://www.xeno-canto.org/216631
4,Abeillia abeillei,Emerald-chinned Hummingbird,96758,Xeno-Canto,Mexico,"Mexico, Chiapas El Triunfo",15.6,-92.744,24/02/12,manuel Grosselet,http://www.xeno-canto.org/96758
5,Abeillia abeillei,Emerald-chinned Hummingbird,256301,Xeno-Canto,Mexico,"Quetzal Camp, El Triunfo, Chiapas",15.7199,-92.9332,13/03/15,Frank Lambert,http://www.xeno-canto.org/256301
6,Abeillia abeillei,Emerald-chinned Hummingbird,256302,Xeno-Canto,Mexico,"Quetzal Camp, El Triunfo, Chiapas",15.7199,-92.9332,13/03/15,Frank Lambert,http://www.xeno-canto.org/256302
7,Abeillia abeillei,Emerald-chinned Hummingbird,256303,Xeno-Canto,Mexico,"Quetzal Camp, El Triunfo, Chiapas",15.7199,-92.9332,13/03/15,Frank Lambert,http://www.xeno-canto.org/256303
8,Abeillia abeillei,Emerald-chinned Hummingbird,168119,Xeno-Canto,Nicaragua,"Reserva El Jaguar, Jinotega",13.237,-86.0546,16/02/14,Liliana Chavarria-Duriaux,http://www.xeno-canto.org/168119
9,Abeillia abeillei,Emerald-chinned Hummingbird,168120,Xeno-Canto,Nicaragua,"Reserva El Jaguar, Jinotega",13.237,-86.0546,16/02/14,Liliana Chavarria-Duriaux,http://www.xeno-canto.org/168120
10,Abeillia abeillei,Emerald-chinned Hummingbird,343947,Xeno-Canto,El Salvador,"Juayua, Sonsonate",13.9029,-89.7231,5/11/16,Guillermo Funes,https://www.xeno-canto.org/343947
11,Abeillia abeillei,Emerald-chinned Hummingbird,343948,Xeno-Canto,El Salvador,"Juayua, Sonsonate",13.9029,-89.7231,5/11/16,Guillermo Funes,https://www.xeno-canto.org/343948
12,Abeillia abeillei,Emerald-chinned Hummingbird,334394,Xeno-Canto,Mexico,"Limonar, near El Triunfo, Chiapas",15.6216,-92.8209,27/03/15,Richard E. Webster,https://www.xeno-canto.org/334394
13,Abeillia abeillei,Emerald-chinned Hummingbird,334395,Xeno-Canto,Mexico,"Limonar, near El Triunfo, Chiapas",15.6216,-92.8209,27/03/15,Richard E. Webster,https://www.xeno-canto.org/334395
14,Abeillia abeillei,Emerald-chinned Hummingbird,334396,Xeno-Canto,Mexico,"Canada Honda, near El Triunfo, Chiapas",15.6283,-92.8046,27/03/15,Richard E. Webster,https://www.xeno-canto.org/334396
15,Abeillia abeillei,Emerald-chinned Hummingbird,335804,Xeno-Canto,Mexico,"Trailhead to El Triunfo above Finca Prusia, Chiapas",15.6979,-92.7919,22/03/15,Richard E. Webster,https://www.xeno-canto.org/335804
16,Abeillia abeillei,Emerald-chinned Hummingbird,335805,Xeno-Canto,Mexico,"Trailhead to El Triunfo above Finca Prusia, Chiapas",15.6979,-92.7919,22/03/15,Richard E. Webster,https://www.xeno-canto.org/335805
17,Abeillia abeillei,Emerald-chinned Hummingbird,368090,Xeno-Canto,Nicaragua,Departamento de Jinotega,13238,-86056,8/03/17,Nick Komar,https://www.xeno-canto.org/368090
18,Abeillia abeillei,Emerald-chinned Hummingbird,368091,Xeno-Canto,Nicaragua,Departamento de Jinotega,13238,-86056,8/03/17,Nick Komar,https://www.xeno-canto.org/368091
